employee_id,month,year,basic_salary,working_days,present_days,late_days,absent_days,late_minutes,late_hours,absence_deduction,delay_deduction,total_deduction
1,4,2026,1000.0,26,22,2,2,105,1.75,76.92,8.41,85.33
1,5,2026,1000.0,26,19,3,4,219,3.65,153.85,17.55,171.4
1,6,2026,1000.0,26,21,3,2,95,1.58,76.92,7.61,84.53
1,7,2026,1000.0,26,21,4,1,190,3.17,38.46,15.22,53.68
1,8,2026,1000.0,27,23,2,2,62,1.03,74.07,4.78,78.85
2,4,2026,2400.0,26,22,3,1,268,4.47,92.31,51.54,143.85
2,5,2026,2400.0,26,24,2,0,65,1.08,0.0,12.5,12.5
2,6,2026,2400.0,26,24,2,0,111,1.85,0.0,21.35,21.35
2,7,2026,2400.0,26,23,2,1,176,2.93,92.31,33.85,126.16
2,8,2026,2400.0,27,24,2,1,150,2.5,88.89,27.78,116.67
4,4,2026,800.0,26,17,7,2,496,8.27,61.54,31.79,93.33
4,5,2026,800.0,26,20,4,2,186,3.1,61.54,11.92,73.46
4,6,2026,800.0,26,22,2,2,106,1.77,61.54,6.79,68.33
4,7,2026,800.0,26,22,1,3,71,1.18,92.31,4.55,96.86
4,8,2026,800.0,27,22,4,1,336,5.6,29.63,20.74,50.37
5,4,2026,850.0,26,23,3,0,265,4.42,0.0,18.05,18.05
5,5,2026,850.0,26,23,1,2,107,1.78,65.38,7.29,72.67
5,6,2026,850.0,26,22,2,2,98,1.63,65.38,6.67,72.05
5,7,2026,850.0,26,24,0,2,0,0.0,65.38,0.0,65.38
5,8,2026,850.0,27,20,4,3,386,6.43,94.44,25.32,119.76
6,4,2026,2100.0,26,25,1,0,107,1.78,0.0,18.0,18.0
6,5,2026,2100.0,26,23,1,2,81,1.35,161.54,13.63,175.17
6,6,2026,2100.0,26,20,3,3,284,4.73,242.31,47.79,290.1
6,7,2026,2100.0,26,17,6,3,330,5.5,242.31,55.53,297.84
6,8,2026,2100.0,27,26,0,1,0,0.0,77.78,0.0,77.78
7,4,2026,750.0,26,22,3,1,206,3.43,28.85,12.38,41.23
7,5,2026,750.0,26,26,0,0,0,0.0,0.0,0.0,0.0
7,6,2026,750.0,26,23,3,0,114,1.9,0.0,6.85,6.85
7,7,2026,750.0,26,24,1,1,24,0.4,28.85,1.44,30.29
7,8,2026,750.0,27,22,1,4,119,1.98,111.11,6.89,118.0
8,4,2026,750.0,26,24,1,1,49,0.82,28.85,2.94,31.79
8,5,2026,750.0,26,20,3,3,181,3.02,86.54,10.88,97.42
8,6,2026,750.0,26,23,2,1,155,2.58,28.85,9.31,38.16
8,7,2026,750.0,26,21,3,2,163,2.72,57.69,9.8,67.49
8,8,2026,750.0,27,22,3,2,111,1.85,55.56,6.42,61.98
9,4,2026,750.0,26,23,2,1,129,2.15,28.85,7.75,36.6
9,5,2026,750.0,26,21,4,1,252,4.2,28.85,15.14,43.99
9,6,2026,750.0,26,22,2,2,184,3.07,57.69,11.06,68.75
9,7,2026,750.0,26,22,2,2,161,2.68,57.69,9.68,67.37
9,8,2026,750.0,27,18,6,3,282,4.7,83.33,16.32,99.65
10,4,2026,2200.0,26,20,6,0,546,9.1,0.0,96.25,96.25
10,5,2026,2200.0,26,22,3,1,280,4.67,84.62,49.36,133.98
10,6,2026,2200.0,26,24,2,0,110,1.83,0.0,19.39,19.39
10,7,2026,2200.0,26,19,4,3,220,3.67,253.85,38.78,292.63
10,8,2026,2200.0,27,23,3,1,112,1.87,81.48,19.01,100.49
11,4,2026,800.0,26,24,1,1,114,1.9,30.77,7.31,38.08
11,5,2026,800.0,26,21,3,2,247,4.12,61.54,15.83,77.37
11,6,2026,800.0,26,20,3,3,228,3.8,92.31,14.62,106.93
11,7,2026,800.0,26,25,1,0,40,0.67,0.0,2.56,2.56
11,8,2026,800.0,27,25,2,0,80,1.33,0.0,4.94,4.94
12,4,2026,800.0,26,21,4,1,275,4.58,30.77,17.63,48.4
12,5,2026,800.0,26,24,2,0,127,2.12,0.0,8.14,8.14
12,6,2026,800.0,26,23,2,1,53,0.88,30.77,3.4,34.17
12,7,2026,800.0,26,22,3,1,233,3.88,30.77,14.94,45.71
12,8,2026,800.0,27,25,2,0,200,3.33,0.0,12.35,12.35
13,4,2026,800.0,26,22,3,1,130,2.17,30.77,8.33,39.1
