leave_type,duration_days,department_id,position_id,previous_requests,previous_approved,previous_rejected,approval_rate,on_time_rate,late_count,same_department_leave_count,target
SICK,1,2,8,4,1,3,0.25,0.8333,4,5,REJECTED
SICK,10,5,20,6,0,6,0.0,0.9091,1,1,REJECTED
SICK,9,6,24,6,1,5,0.1667,0.7895,8,0,REJECTED
ANNUAL,3,2,6,3,2,1,0.6667,0.875,2,3,APPROVED
ANNUAL,1,3,9,7,1,6,0.1429,0.9412,2,4,REJECTED
ANNUAL,10,4,13,3,0,3,0.0,0.1667,10,1,REJECTED
SICK,7,6,22,4,3,1,0.75,0.78,11,1,APPROVED
ANNUAL,2,1,2,2,2,0,1.0,0.875,7,1,APPROVED
SICK,6,2,8,0,0,0,0.5,0.9583,1,2,APPROVED
ANNUAL,4,1,1,7,6,1,0.8571,0.7255,14,1,APPROVED
ANNUAL,10,3,10,6,4,2,0.6667,0.6857,11,1,REJECTED
SICK,2,4,16,2,2,0,1.0,0.35,13,4,REJECTED
ANNUAL,9,4,13,4,4,0,1.0,0.0,10,5,REJECTED
ANNUAL,6,5,20,1,1,0,1.0,0.8649,5,3,REJECTED
ANNUAL,9,3,10,2,2,0,1.0,0.4375,9,5,REJECTED
ANNUAL,3,3,12,8,8,0,1.0,0.1,9,2,APPROVED
ANNUAL,4,3,9,0,0,0,0.5,0.92,2,0,APPROVED
SICK,3,5,20,7,2,5,0.2857,0.5,13,1,REJECTED
SICK,5,2,7,6,5,1,0.8333,0.7843,11,3,APPROVED
SICK,2,6,22,5,0,5,0.0,0.8511,7,4,APPROVED
SICK,4,2,7,1,0,1,0.0,0.9355,2,4,REJECTED
SICK,9,1,4,2,2,0,1.0,0.6739,15,1,REJECTED
SICK,2,1,1,6,2,4,0.3333,0.6486,13,3,REJECTED
SICK,1,2,8,6,5,1,0.8333,0.9032,3,1,APPROVED
SICK,7,4,14,2,1,1,0.5,0.8205,7,0,APPROVED
SICK,1,5,20,8,0,8,0.0,0.5333,7,1,REJECTED
ANNUAL,1,1,1,2,1,1,0.5,0.4,6,2,APPROVED
ANNUAL,3,2,7,3,2,1,0.6667,0.9565,1,4,APPROVED
SICK,1,2,6,7,2,5,0.2857,0.3846,8,0,APPROVED
SICK,7,4,16,1,0,1,0.0,0.9787,1,4,REJECTED
ANNUAL,5,6,23,3,2,1,0.6667,0.68,8,3,APPROVED
ANNUAL,6,2,5,1,0,1,0.0,0.9231,3,0,APPROVED
